iter	Passed	Remaining
816	2674	598
817	2677	595
818	2680	592
819	2683	588
820	2686	585
821	2689	582
822	2691	578
823	2695	575
824	2697	572
825	2700	568
826	2704	565
827	2708	562
828	2711	559
829	2714	555
830	2717	552
831	2720	549
832	2723	546
833	2727	542
834	2729	539
835	2733	536
836	2736	532
837	2740	529
838	2743	526
839	2747	523
840	2750	520
841	2754	516
842	2757	513
843	2760	510
844	2763	506
845	2766	503
846	2769	500
847	2773	497
848	2776	493
849	2779	490
850	2783	487
851	2786	484
852	2790	480
853	2793	477
854	2797	474
855	2801	471
856	2804	467
857	2808	464
858	2811	461
859	2815	458
860	2818	455
861	2822	451
862	2826	448
863	2830	445
864	2833	442
865	2836	438
866	2839	435
867	2842	432
868	2845	429
869	2848	425
870	2851	422
871	2855	419
872	2858	415
873	2861	412
874	2864	409
875	2867	405
876	2870	402
877	2873	399
878	2877	396
879	2880	392
880	2883	389
881	2886	386
882	2889	382
883	2892	379
884	2895	376
885	2899	373
886	2902	369
887	2905	366
888	2908	363
889	2913	360
890	2916	356
891	2919	353
892	2922	350
893	2926	346
894	2930	343
895	2934	340
896	2937	337
897	2940	334
898	2944	330
899	2948	327
900	2951	324
901	2956	321
902	2959	317
903	2963	314
904	2966	311
905	2969	308
906	2973	304
907	2976	301
908	2979	298
909	2982	295
910	2985	291
911	2989	288
912	2992	285
913	2996	281
914	2999	278
915	3002	275
916	3006	272
917	3009	268
918	3012	265
919	3016	262
920	3019	258
921	3022	255
922	3025	252
923	3029	249
924	3031	245
925	3035	242
926	3038	239
927	3041	235
928	3044	232
929	3047	229
930	3050	226
931	3053	222
932	3056	219
933	3059	216
934	3062	212
935	3065	209
936	3068	206
937	3072	203
938	3075	199
939	3078	196
940	3080	193
941	3083	189
942	3086	186
943	3089	183
944	3092	179
945	3096	176
946	3098	173
947	3102	170
948	3105	166
949	3108	163
950	3111	160
951	3115	157
952	3118	153
953	3121	150
954	3124	147
955	3127	143
956	3130	140
957	3134	137
958	3137	134
959	3141	130
960	3144	127
961	3148	124
962	3151	121
963	3154	117
964	3157	114
965	3160	111
966	3164	107
967	3167	104
968	3170	101
969	3173	98
970	3177	94
971	3181	91
972	3184	88
973	3188	85
974	3191	81
975	3195	78
976	3198	75
977	3201	72
978	3204	68
979	3207	65
980	3211	62
981	3214	58
982	3218	55
983	3221	52
984	3224	49
985	3228	45
986	3231	42
987	3234	39
988	3237	36
989	3241	32
990	3243	29
991	3246	26
992	3250	22
993	3253	19
994	3256	16
995	3259	13
996	3262	9
997	3266	6
998	3269	3
999	3272	0
